TimeStamp	BatchId	BatchName	RequestedCopies	MachineName	JobName	LayerName	SubmissionDate	OperatorName	CurrentCopy	CompletionStatus	Table	LayerSide	Resist	Treatment	Setup	Material	Compensation	RunLengthFileSize	ImageSize X (mm)	ImageSize Y (mm)	MinWidth (µm)	RegistrationMode	BreakRegistration	SerialNumber	CustomerName	PartNumber	Margin X (µm)	Margin Y (µm)	VirtualTargetUsed	SwapUsed	ThreeTargetPolicyUsed	Scaling NumberOfGroups	Scaling ScaleCenter X	Scaling ScaleCenter Y	Scaling ScaleBottomAsTop	Scaling PreMeasure	Scaling NumberOfPanels	Scaling Allowed Drop	Scaling Upper Calculation Limit X	Scaling Upper Calculation Limit Y	Scaling Lower Calculation Limit X	Scaling Lower Calculation Limit Y	Scaling Upper Print Limit X	Scaling Upper Print Limit Y	Scaling Lower Print Limit X	Scaling Lower Print Limit Y	Scaling JudgeError1 (µm)	Scaling JudgeError2 (µm)	Scaling PitchError (µm)	Scaling PitchErrorDiff (µm)	Scaling G1ScaleAlg DV	Scaling G1ScaleAlg ScaleAlgorithm	Scaling G2ScaleAlg DV	Scaling G2ScaleAlg ScaleAlgorithm	Scaling G3ScaleAlg DV	Scaling G3ScaleAlg ScaleAlgorithm	Scaling G4ScaleAlg DV	Scaling G4ScaleAlg ScaleAlgorithm	ThicknessRecipe (mm)	Energy (J/m²)	ActualEnergy (J/m²)	WaveLengthRatio	PrintResolution (µm)	RipResolution (µm)	PrintPolarity	LowestVacuumLevel	RegistrationTime	CamScale X	CamScale Y	JudgeErrorResult	NominalPanelSize X (mm)	NominalPanelSize Y (mm)	PrintStartTime	PrintEndTime	Recovery	SubPanel	ManualRegistrationUsed	NumberOfTargetRegistrationOk	NumberOfTargetRegRegistrationManual	NumberOfTargetRegistrationSkipped	MaxJudgeError (µm)	ActualScale X	ActualScale Y	MeasuredScale X	MeasuredScale Y	G1FixedCalculated X	G1FixedCalculated Y	NumberOfTargets	Group	Pitch PEx X (µm)	Pitch PEx Y (µm)	Pitch PEy X (µm)	Pitch PEy Y (µm)	Pitch PEd X (µm)	Pitch PEd Y (µm)	PEDx	PEDy	PEDd	SideScaleFactors X1	SideScaleFactors X2	SideScaleFactors Y1	SideScaleFactors Y2	Target Index 1	TargetContextId 1	TargetId 1	CamCoord X (mm) 1	CamCoord Y (mm) 1	MeasuredCoord X (mm) 1	MeasuredCoord Y (mm) 1	TransformedCoord X (mm) 1	TransformedCoord Y (mm) 1	JudgeError X (µm) 1	JudgeError Y (µm) 1	JudgeErrorLength (µm) 1	TargetStatus 1	JudgeErrorStatusViolated 1	Score 1	TargetShape 1	DetectionInfo (m) 1	Target Index 2	TargetContextId 2	TargetId 2	CamCoord X (mm) 2	CamCoord Y (mm) 2	MeasuredCoord X (mm) 2	MeasuredCoord Y (mm) 2	TransformedCoord X (mm) 2	TransformedCoord Y (mm) 2	JudgeError X (µm) 2	JudgeError Y (µm) 2	JudgeErrorLength (µm) 2	TargetStatus 2	JudgeErrorStatusViolated 2	Score 2	TargetShape 2	DetectionInfo (m) 2	Target Index 3	TargetContextId 3	TargetId 3	CamCoord X (mm) 3	CamCoord Y (mm) 3	MeasuredCoord X (mm) 3	MeasuredCoord Y (mm) 3	TransformedCoord X (mm) 3	TransformedCoord Y (mm) 3	JudgeError X (µm) 3	JudgeError Y (µm) 3	JudgeErrorLength (µm) 3	TargetStatus 3	JudgeErrorStatusViolated 3	Score 3	TargetShape 3	DetectionInfo (m) 3	Target Index 4	TargetContextId 4	TargetId 4	CamCoord X (mm) 4	CamCoord Y (mm) 4	MeasuredCoord X (mm) 4	MeasuredCoord Y (mm) 4	TransformedCoord X (mm) 4	TransformedCoord Y (mm) 4	JudgeError X (µm) 4	JudgeError Y (µm) 4	JudgeErrorLength (µm) 4	TargetStatus 4	JudgeErrorStatusViolated 4	Score 4	TargetShape 4	DetectionInfo (m) 4
6/9/2022 1:03:56 AM	460baf3f-4b05-450e-a16b-3c91e0227953	225069N0	1000	DR192002	f3128-1593-0000-t	cp3	4/20/2022 8:25:05 PM	orb	2	Success		Top	920_50mj	1.0	NLS X-3	500x330		16	500	329.999	110	Ccd	False	1	unknown	unknown	-3000	0	False	False	False	1	0	0	False	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Trapezoid							0.1	50	0	33 : 67	1	1.25	PositivePrintPositivePolarity		00:10.918	1	1	Rejects	500	330	6/9/2022 1:03:56 AM	6/9/2022 1:04:22 AM	False	0	False	4	0	0	0.00	1.00050777668127	0.999459119023629	1.00050822041376	0.999460993215489	0	0	4	G1	-16.0150441032556	15.8516252859613	-0.0562294956694132	-0.0331094572629809	98.8869750314052	-99.6297044467838	15.9588146075862	15.8847347432243	198.516679478189	1.00054046609904	1.0004750872635	0.999459015765268	0.999459222281989	Target 1	0	300	33.479	3131.593	33.247	3132.340	33.247	3132.374	0.00	0.00	0.00	0	0	100	"circle,"	0.975	Target 2	5	300	518.479	3131.593	518.394	3132.113	518.394	3132.079	0.00	0.00	0.00	0	0	100	"circle,"	0.98	Target 3	3	300	28.479	2811.593	28.154	2811.935	28.154	2811.902	0.00	0.00	0.00	0	0	100	"circle,"	0.974	Target 4	6	300	518.479	2811.593	518.334	2811.572	518.334	2811.606	0.00	0.00	0.00	0	0	100	"circle,"	0.98
6/9/2022 1:03:56 AM	460baf3f-4b05-450e-a16b-3c91e0227953	225069N0	1000	DR192002	f3128-1593-0000-t	cp3	4/20/2022 8:25:05 PM	orb	2	Success		Top	920_50mj	1.0	NLS X-3	500x330		16	500	329.999	110	Ccd	False	1	unknown	unknown	-3000	0	False	False	False	1	0	0	False	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Trapezoid							0.1	50	0	33 : 67	1	1.25	PositivePrintPositivePolarity		00:10.918	1	1	Rejects	500	330	6/9/2022 1:03:56 AM	6/9/2022 1:04:22 AM	False	1	False	4	0	0	0.00	1.00032226081691	0.999290410421683	1.00032133868572	0.999292138543122	0	0	4	G1	-25.7935142945485	25.2561494133659	-0.0642301126276834	-0.0263919389453804	88.6799148665887	-89.3959891203622	25.7292841819208	25.2825413523112	178.075903986951	1.00042975238596	1.00021476924786	0.999290328113224	0.999290492730141	Target 1	3	300	28.479	2811.593	28.154	2811.935	28.154	2811.929	0.00	0.00	0.00	0	0	100	"circle,"	0.974	Target 2	0	300	33.479	3131.593	33.247	3132.340	33.247	3132.347	0.00	0.00	0.00	0	0	100	"circle,"	0.975	Target 3	1	300	268.479	3131.593	268.257	3132.194	268.257	3132.187	0.00	0.00	0.00	0	0	100	"circle,"	0.976	Target 4	2	300	268.479	2811.593	268.216	2811.762	268.216	2811.768	0.00	0.00	0.00	0	0	100	"circle,"	0.977
6/9/2022 1:03:56 AM	460baf3f-4b05-450e-a16b-3c91e0227953	225069N0	1000	DR192002	f3128-1593-0000-t	cp3	4/20/2022 8:25:05 PM	orb	2	Success		Top	920_50mj	1.0	NLS X-3	500x330		16	500	329.999	110	Ccd	False	1	unknown	unknown	-3000	0	False	False	False	1	0	0	False	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Trapezoid							0.1	50	0	33 : 67	1	1.25	PositivePrintPositivePolarity		00:10.918	1	1	Rejects	500	330	6/9/2022 1:03:56 AM	6/9/2022 1:04:22 AM	False	2	False	4	0	0	0	1.00069968825554	0.999490513527654	1.00069823155377	0.999492280834607	0	0	4	G1	1.52616817885587	-1.49437300834165	-0.0437807847788463	-0.0330401747419273	71.9083361812523	-72.4961779151272	1.56994896363472	1.46133283359973	144.404514096379	1.00069332812135	1.00070604838973	0.999490410485365	0.999490616569943	Target 1	6	300	518.479	2811.593	518.334	2811.572	518.334	2811.601	0.00	0.00	0.00	0	0	100	"circle,"	0.98	Target 2	5	300	518.479	3131.593	518.394	3132.113	518.394	3132.084	0.00	0.00	0.00	0	0	100	"circle,"	0.98	Target 3	4	300	283.479	3131.593	283.269	3132.188	283.269	3132.217	0.00	0.00	0.00	0	0	100	"circle,"	0.974	Target 4	7	300	278.479	2811.593	278.210	2811.762	278.210	2811.734	0.00	0.00	0.00	0	0	100	"circle,"	0.978
6/9/2022 1:04:07 AM	460baf3f-4b05-450e-a16b-3c91e0227953	225069N0	1000	DR192002	f3128-1593-0000-t	cp3	4/20/2022 8:25:05 PM	orb	2	Success		Top	920_50mj	1.0	NLS X-3	500x330		16	500	329.999	110	Ccd	False	2	unknown	unknown	-3000	0	False	False	False	1	0	0	False	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Trapezoid							0.1	50	0	33 : 67	1	1.25	PositivePrintPositivePolarity		00:11.044	1	1	Rejects	500	330	6/9/2022 1:04:07 AM	6/9/2022 1:04:34 AM	False	0	False	4	0	0	0.00	1.0002556292722	0.999238090286022	1.00025443126924	0.999242332150208	0	0	4	G1	16.4798182494224	-16.311656838468	-0.0656750239613757	-0.0260545558035119	152.981066875782	-154.090321312879	16.5454932733837	16.2856022826645	307.07138818866	1.00022199117167	1.00028926737272	0.99923800902976	0.999238171542283	Target 1	8	300	33.479	3461.592	33.318	3462.617	33.318	3462.629	0.00	0.00	0.00	0	0	100	"circle,"	0.97	Target 2	13	300	518.479	3461.592	518.374	3462.231	518.374	3462.219	0.00	0.00	0.00	0	0	100	"circle,"	0.98	Target 3	11	300	28.479	3141.592	28.248	3142.240	28.248	3142.228	0.00	0.00	0.00	0	0	100	"circle,"	0.98	Target 4	14	300	518.479	3141.592	518.272	3141.805	518.272	3141.817	0.00	0.00	0.00	0	0	100	"circle,"	0.98
6/9/2022 1:04:07 AM	460baf3f-4b05-450e-a16b-3c91e0227953	225069N0	1000	DR192002	f3128-1593-0000-t	cp3	4/20/2022 8:25:05 PM	orb	2	Success		Top	920_50mj	1.0	NLS X-3	500x330		16	500	329.999	110	Ccd	False	2	unknown	unknown	-3000	0	False	False	False	1	0	0	False	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Trapezoid							0.1	50	0	33 : 67	1	1.25	PositivePrintPositivePolarity		00:11.044	1	1	Rejects	500	330	6/9/2022 1:04:07 AM	6/9/2022 1:04:34 AM	False	1	False	4	0	0	0.00	1.00023603796024	0.999290583537126	1.00023643905525	0.999291632972011	0	0	4	G1	17.1011920444641	-16.7449172102181	-0.0692257907530802	-0.0281356605569272	134.720125044907	-135.761388132323	17.1704178352172	16.7167815496612	270.481513177231	1.00016477066627	1.0003073052542	0.999290495790529	0.999290671283723	Target 1	11	300	28.479	3141.592	28.248	3142.240	28.248	3142.219	0.00	0.00	0.00	0	0	100	"circle,"	0.98	Target 2	8	300	33.479	3461.592	33.318	3462.617	33.318	3462.638	0.00	0.00	0.00	0	0	100	"circle,"	0.97	Target 3	9	300	268.479	3461.592	268.350	3462.426	268.350	3462.406	0.00	0.00	0.00	0	0	100	"circle,"	0.974	Target 4	10	300	268.479	3141.592	268.246	3141.966	268.246	3141.986	0.00	0.00	0.00	0	0	100	"circle,"	0.974
6/9/2022 1:04:07 AM	460baf3f-4b05-450e-a16b-3c91e0227953	225069N0	1000	DR192002	f3128-1593-0000-t	cp3	4/20/2022 8:25:05 PM	orb	2	Success		Top	920_50mj	1.0	NLS X-3	500x330		16	500	329.999	110	Ccd	False	2	unknown	unknown	-3000	0	False	False	False	1	0	0	False	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Trapezoid							0.1	50	0	33 : 67	1	1.25	PositivePrintPositivePolarity		00:11.044	1	1	Rejects	500	330	6/9/2022 1:04:07 AM	6/9/2022 1:04:34 AM	False	2	False	4	0	0	0	1.00009315461559	0.999351343072089	1.00009171834825	0.999353318917989	0	0	4	G1	2.48682860691929	-2.43501967761972	-0.0872666575446601	-0.0259889437188576	75.9152436525597	-76.5606507200118	2.57409526446395	2.40903073390086	152.475894372571	1.00008279103714	1.00010351819404	0.999351262020452	0.999351424123726	Target 1	14	300	518.479	3141.592	518.272	3141.805	518.272	3141.799	0.00	0.00	0.00	0	0	100	"circle,"	0.98	Target 2	13	300	518.479	3461.592	518.374	3462.231	518.374	3462.238	0.00	0.00	0.00	0	0	100	"circle,"	0.98	Target 3	12	300	283.479	3461.592	283.391	3462.412	283.391	3462.406	0.00	0.00	0.00	0	0	100	"circle,"	0.976	Target 4	15	300	278.479	3141.592	278.294	3141.962	278.294	3141.968	0.00	0.00	0.00	0	0	100	"circle,"	0.975
6/9/2022 1:04:18 AM	460baf3f-4b05-450e-a16b-3c91e0227953	225069N0	1000	DR192002	f3128-1593-0000-t	cp3	4/20/2022 8:25:05 PM	orb	3	Success		Top	920_50mj	1.0	NLS X-3	500x330		16	500	329.999	110	Ccd	False	3	unknown	unknown	-3000	0	False	False	False	1	0	0	False	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Trapezoid							0.1	50	0	33 : 67	1	1.25	PositivePrintPositivePolarity		00:10.888	1	1	Rejects	500	330	6/9/2022 1:04:18 AM	6/9/2022 1:04:45 AM	False	0	False	4	0	0	0.00	1.00028740892897	0.9992788610082	1.00028541428891	0.999286315227428	0	0	4	G1	-16.2871157173186	16.1209206590911	-0.059538513824009	-0.0328986043314217	135.50399463179	-136.496748250011	16.2275772034946	16.1538192634225	272.000742881801	1.00032065369099	1.00025416416695	0.999278758407425	0.999278963608975	Target 1	16	300	33.479	3791.591	33.385	3792.998	33.385	3793.059	0.00	0.00	0.00	0	0	100	"circle,"	0.974	Target 2	21	300	518.479	3791.591	518.424	3792.798	518.424	3792.738	0.00	0.00	0.00	0	0	100	"circle,"	0.978	Target 3	19	300	28.479	3471.591	28.320	3472.704	28.320	3472.644	0.00	0.00	0.00	0	0	100	"circle,"	0.975	Target 4	22	300	518.479	3471.591	518.392	3472.262	518.392	3472.322	0.00	0.00	0.00	0	0	100	"circle,"	0.979
6/9/2022 1:04:18 AM	460baf3f-4b05-450e-a16b-3c91e0227953	225069N0	1000	DR192002	f3128-1593-0000-t	cp3	4/20/2022 8:25:05 PM	orb	3	Success		Top	920_50mj	1.0	NLS X-3	500x330		16	500	329.999	110	Ccd	False	3	unknown	unknown	-3000	0	False	False	False	1	0	0	False	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Trapezoid							0.1	50	0	33 : 67	1	1.25	PositivePrintPositivePolarity		00:10.888	1	1	Rejects	500	330	6/9/2022 1:04:18 AM	6/9/2022 1:04:45 AM	False	1	False	4	0	0	0.00	1.00030375285457	0.999141229014519	1.00029539135864	0.999147500687331	0	0	4	G1	-8.16457905608559	7.99448365907551	-0.0529534359543504	-0.027448251273654	108.108250298358	-108.953593821525	8.11162562013124	8.02193191034917	217.061844119883	1.00033777781928	1.00026972788987	0.999141143411744	0.999141314617294	Target 1	19	300	28.479	3471.591	28.320	3472.704	28.320	3472.666	0.00	0.00	0.00	0	0	100	"circle,"	0.975	Target 2	16	300	33.479	3791.591	33.385	3792.998	33.385	3793.037	0.00	0.00	0.00	0	0	100	"circle,"	0.974	Target 3	17	300	268.479	3791.591	268.407	3792.898	268.407	3792.860	0.00	0.00	0.00	0	0	100	"circle,"	0.975	Target 4	18	300	268.479	3471.591	268.359	3472.450	268.359	3472.489	0.00	0.00	0.00	0	0	100	"circle,"	0.974
6/9/2022 1:04:18 AM	460baf3f-4b05-450e-a16b-3c91e0227953	225069N0	1000	DR192002	f3128-1593-0000-t	cp3	4/20/2022 8:25:05 PM	orb	3	Success		Top	920_50mj	1.0	NLS X-3	500x330		16	500	329.999	110	Ccd	False	3	unknown	unknown	-3000	0	False	False	False	1	0	0	False	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Trapezoid							0.1	50	0	33 : 67	1	1.25	PositivePrintPositivePolarity		00:10.888	1	1	Rejects	500	330	6/9/2022 1:04:18 AM	6/9/2022 1:04:45 AM	False	2	False	4	0	0	0	1.00009536781259	0.999518004091759	1.00009420688557	0.999520119682981	0	0	4	G1	-7.62248781828134	7.46368598876757	-0.0933424981894859	-0.0327648465372476	87.0856300768423	-87.8202041533314	7.52914532009186	7.49645083530481	174.905834230174	1.00012713367304	1.00006360195213	0.999517901908133	0.999518106275385	Target 1	22	300	518.479	3471.591	518.392	3472.262	518.392	3472.284	0.00	0.00	0.00	0	0	100	"circle,"	0.979	Target 2	21	300	518.479	3791.591	518.424	3792.798	518.424	3792.776	0.00	0.00	0.00	0	0	100	"circle,"	0.978	Target 3	20	300	283.479	3791.591	283.450	3792.892	283.450	3792.914	0.00	0.00	0.00	0	0	100	"circle,"	0.974	Target 4	23	300	278.479	3471.591	278.403	3472.444	278.403	3472.422	0.00	0.00	0.00	0	0	100	"circle,"	0.976
6/9/2022 1:04:29 AM	460baf3f-4b05-450e-a16b-3c91e0227953	225069N0	1000	DR192002	f3128-1593-0000-t	cp3	4/20/2022 8:25:05 PM	orb	4	Success		Top	920_50mj	1.0	NLS X-3	500x330		16	500	329.999	110	Ccd	False	4	unknown	unknown	-3000	0	False	False	False	1	0	0	False	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Trapezoid							0.1	50	0	33 : 67	1	1.25	PositivePrintPositivePolarity		00:10.986	1	1	Rejects	500	330	6/9/2022 1:04:29 AM	6/9/2022 1:04:55 AM	False	0	False	4	0	0	0	1.0002663803585	0.999277269387615	1.00026619108653	0.999281033259947	0	0	4	G1	-4.15803544456139	4.11560651156151	-0.0629860604703936	-0.030967275392868	145.560792197102	-146.622186964805	4.095049384091	4.14657378695438	292.182979161908	1.00027486761317	1.00025789310384	0.99927717281007	0.99927736596516	Target 1	24	300	33.479	4121.589	33.344	4123.487	33.344	4123.534	0.00	0.00	0.00	0	0	100	"circle,"	0.974	Target 2	29	300	518.479	4121.589	518.385	4123.377	518.385	4123.330	0.00	0.00	0.00	0	0	100	"circle,"	0.978	Target 3	27	300	28.479	3801.589	28.381	3803.165	28.381	3803.118	0.00	0.00	0.00	0	0	100	"circle,"	0.974	Target 4	30	300	518.479	3801.589	518.430	3802.868	518.430	3802.915	0.00	0.00	0.00	0	0	100	"circle,"	0.977
